Age group (years),Males,Females,All persons,Year,State
0–4,4.7,6.4,9.9,2012,QLD
5–14,28.7,19.6,49.1,2012,QLD
15–24,25.1,26.0,51.0,2012,QLD
25–34,27.7,33.1,62.0,2012,QLD
35–44,38.2,36.8,72.1,2012,QLD
45–54,51.1,52.8,102.8,2012,QLD
55–59,37.8,36.2,72.8,2012,QLD
60–64,42.4,35.0,79.3,2012,QLD
65–69,39.5,37.7,74.9,2012,QLD
70–74,35.0,32.7,69.0,2012,QLD
75–79,28.4,31.2,59.8,2012,QLD
80–84,23.6,27.6,51.5,2012,QLD
85–89,16.6,27.3,43.7,2012,QLD
90 and over,7.2,13.0,20.1,2012,QLD
Total,404.8,416.4,820.7,2012,QLD
0–4,5.4,3.3,10.8,2015,QLD
5–14,39.4,21.9,63.9,2015,QLD
15–24,23.5,21.5,46.2,2015,QLD
25–34,28.2,33.3,63.7,2015,QLD
35–44,37.7,40.4,76.7,2015,QLD
45–54,53.7,53.4,104.9,2015,QLD
55–59,33.7,37.9,69.1,2015,QLD
60–64,41.3,39.7,80.3,2015,QLD
65–69,46.6,38.3,84.2,2015,QLD
70–74,36.8,45.7,81.7,2015,QLD
75–79,29.5,31.9,60.9,2015,QLD
80–84,22.4,28.9,50.8,2015,QLD
85–89,16.1,23.7,39.9,2015,QLD
90 and over,6.4,16.2,22.6,2015,QLD
Total,422.6,436.9,859.0,2015,QLD
0–4,8.4,3.2,11.9,2018,QLD
5–14,40.1,24.5,64.6,2018,QLD
15–24,33.6,22.2,51.7,2018,QLD
25–34,39.9,26.9,65.8,2018,QLD
35–44,36.1,34.8,72.2,2018,QLD
45–54,58.8,57.8,119.2,2018,QLD
55–59,39.5,34.6,75.6,2018,QLD
60–64,41.5,41.0,81.8,2018,QLD
65–69,54.1,45.3,99.1,2018,QLD
70–74,47.3,40.9,89.8,2018,QLD
75–79,40.2,38.8,79.4,2018,QLD
80–84,27.1,31.4,58.9,2018,QLD
85–89,19.4,23.5,42.5,2018,QLD
90 and over,6.7,19.5,26.4,2018,QLD
Total,488.1,449.5,938.1,2018,QLD
