Age group (years),Males,Females,All persons,Year,State
0–4,3.2,3.0,5.6,2012,SA
5–14,11.6,5.4,17.1,2012,SA
15–24,11.5,10.3,21.1,2012,SA
25–34,12.8,12.8,24.2,2012,SA
35–44,12.8,13.8,26.4,2012,SA
45–54,20.2,26.1,45.7,2012,SA
55–59,15.7,17.0,32.2,2012,SA
60–64,16.8,20.5,38.0,2012,SA
65–69,17.3,15.5,33.1,2012,SA
70–74,12.6,14.4,26.9,2012,SA
75–79,12.1,15.1,27.6,2012,SA
80–84,12.3,14.7,27.0,2012,SA
85–89,8.0,12.5,20.6,2012,SA
90 and over,3.6,8.5,12.1,2012,SA
Total,169.1,187.8,357.1,2012,SA
0–4,4.1,1.3,4.7,2015,SA
5–14,14.3,10.4,24.4,2015,SA
15–24,15.7,9.3,24.3,2015,SA
25–34,11.6,11.8,23.0,2015,SA
35–44,12.5,15.4,29.4,2015,SA
45–54,24.0,25.1,49.3,2015,SA
55–59,12.3,16.6,29.8,2015,SA
60–64,15.3,19.3,35.7,2015,SA
65–69,21.7,18.9,40.1,2015,SA
70–74,14.5,18.8,32.8,2015,SA
75–79,12.7,16.0,28.7,2015,SA
80–84,10.9,16.2,27.2,2015,SA
85–89,8.6,12.3,20.9,2015,SA
90 and over,3.0,9.0,12.0,2015,SA
Total,180.7,202.0,382.7,2015,SA
0–4,3.3,0.0,3.3,2018,SA
5–14,15.3,9.2,22.6,2018,SA
15–24,9.4,13.4,23.8,2018,SA
25–34,7.7,9.3,19.1,2018,SA
35–44,9.3,20.9,27.2,2018,SA
45–54,17.3,18.4,35.8,2018,SA
55–59,9.3,8.5,19.5,2018,SA
60–64,10.3,5.8,17.8,2018,SA
65–69,17.4,17.9,35.3,2018,SA
70–74,21.7,12.9,34.6,2018,SA
75–79,12.8,15.2,28.1,2018,SA
80–84,11.9,15.6,27.4,2018,SA
85–89,5.0,14.1,19.2,2018,SA
90 and over,7.0,10.5,17.4,2018,SA
Total,162.9,170.9,332.5,2018,SA
