Age group (years),Males,Females,All persons,Year,State
0–4,2.1,1.2,2.0,2012,TAS
5–14,4.4,3.5,7.9,2012,TAS
15–24,3.9,3.8,7.9,2012,TAS
25–34,3.0,4.2,7.0,2012,TAS
35–44,4.8,5.3,9.9,2012,TAS
45–54,8.8,8.8,16.9,2012,TAS
55–59,5.3,5.9,11.7,2012,TAS
60–64,7.0,5.5,12.9,2012,TAS
65–69,6.5,6.2,12.1,2012,TAS
70–74,5.8,4.8,11.0,2012,TAS
75–79,5.1,5.2,10.1,2012,TAS
80–84,3.5,4.3,7.8,2012,TAS
85–89,2.4,3.3,5.7,2012,TAS
90 and over,0.7,2.4,3.0,2012,TAS
Total,62.1,63.2,125.1,2012,TAS
0–4,0.7,1.4,2.3,2015,TAS
5–14,5.2,2.2,7.7,2015,TAS
15–24,5.8,2.6,8.6,2015,TAS
25–34,5.4,3.4,8.0,2015,TAS
35–44,4.9,5.9,10.7,2015,TAS
45–54,8.1,7.3,15.4,2015,TAS
55–59,5.2,5.7,11.0,2015,TAS
60–64,5.8,7.1,13.4,2015,TAS
65–69,6.7,7.5,14.0,2015,TAS
70–74,6.2,5.2,11.2,2015,TAS
75–79,5.3,5.6,10.9,2015,TAS
80–84,3.4,4.1,7.7,2015,TAS
85–89,1.7,4.0,5.8,2015,TAS
90 and over,1.7,2.1,3.8,2015,TAS
Total,67.8,63.8,131.7,2015,TAS
0–4,0.9,1.0,0.8,2018,TAS
5–14,5.0,2.4,8.7,2018,TAS
15–24,5.1,3.5,9.9,2018,TAS
25–34,1.7,4.0,5.8,2018,TAS
35–44,1.3,7.1,7.5,2018,TAS
45–54,8.6,7.3,18.2,2018,TAS
55–59,6.0,5.8,13.1,2018,TAS
60–64,7.0,5.4,13.1,2018,TAS
65–69,9.6,7.2,16.4,2018,TAS
70–74,7.1,8.4,15.2,2018,TAS
75–79,6.7,5.9,12.9,2018,TAS
80–84,4.4,4.9,9.3,2018,TAS
85–89,2.4,3.3,5.5,2018,TAS
90 and over,1.6,3.0,4.5,2018,TAS
Total,70.1,70.0,140.1,2018,TAS
