Age group (years),Males,Females,All persons,Year,State
0–4,4.2,7.3,11.2,2012,VIC
5–14,38.4,17.3,56.5,2012,VIC
15–24,34.1,33.3,67.5,2012,VIC
25–34,39.8,40.6,79.5,2012,VIC
35–44,46.5,52.9,101.8,2012,VIC
45–54,66.7,76.0,141.9,2012,VIC
55–59,44.9,46.7,90.2,2012,VIC
60–64,49.0,57.6,105.3,2012,VIC
65–69,55.4,57.6,111.5,2012,VIC
70–74,39.9,51.0,90.4,2012,VIC
75–79,36.3,46.8,82.6,2012,VIC
80–84,36.5,47.3,84.1,2012,VIC
85–89,22.5,34.3,56.4,2012,VIC
90 and over,11.1,24.8,36.0,2012,VIC
Total,526.8,589.1,"1,114.3",2012,VIC
0–4,8.5,4.2,10.0,2015,VIC
5–14,36.1,25.6,62.6,2015,VIC
15–24,35.9,32.1,68.0,2015,VIC
25–34,32.2,40.9,72.8,2015,VIC
35–44,48.6,55.7,102.6,2015,VIC
45–54,64.1,68.9,135.7,2015,VIC
55–59,41.2,52.5,93.0,2015,VIC
60–64,52.7,47.5,101.8,2015,VIC
65–69,47.5,53.1,101.2,2015,VIC
70–74,44.6,45.1,90.0,2015,VIC
75–79,43.1,45.0,89.0,2015,VIC
80–84,32.0,47.3,78.6,2015,VIC
85–89,20.8,36.8,57.5,2015,VIC
90 and over,12.1,27.6,39.5,2015,VIC
Total,516.1,581.5,"1,098.8",2015,VIC
0–4,7.9,7.0,16.4,2018,VIC
5–14,46.8,25.2,72.9,2018,VIC
15–24,39.3,42.8,84.0,2018,VIC
25–34,29.7,38.1,66.8,2018,VIC
35–44,40.0,40.8,81.2,2018,VIC
45–54,60.7,59.0,120.9,2018,VIC
55–59,40.6,40.3,81.6,2018,VIC
60–64,43.6,51.9,97.5,2018,VIC
65–69,47.1,54.2,101.0,2018,VIC
70–74,47.0,55.1,101.4,2018,VIC
75–79,45.2,49.6,95.3,2018,VIC
80–84,38.7,45.2,83.6,2018,VIC
85–89,23.4,35.9,59.6,2018,VIC
90 and over,13.8,25.3,39.0,2018,VIC
Total,525.6,572.2,"1,098.2",2018,VIC
