            Australian Bureau of Statistics,,,,,,,,,,
"44300DO001_2018 Disability, Ageing and Carers, Australia: New South Wales, 2018",,,,,,,,,,
Released at 11.30am (Canberra time) Wed 5 February 2020,,,,,,,,,,
"Table 1.1 Persons with disability, by age and sex–2012, 2015 and 2018, estimate",,,,,,,,,,
,2012,,,2015,,,2018,,,
Age group (years),Males,Females,All persons,Males,Females,All persons,Males,Females,All persons,
ESTIMATE ('000),,,,,,,,,,
0–4,9.0,5.3,16.5,12.1,5.7,17.3,14.5,5.2,19.2,
5–14,53.9,26.2,81.0,60.7,26.5,87.2,61.4,30.8,90.9,
15–24,32.9,30.2,64.6,39.4,30.2,73.3,41.9,45.5,87.3,
25–34,43.6,41.4,84.4,49.6,40.0,89.4,36.4,36.5,71.4,
35–44,53.1,59.6,112.2,57.3,71.6,125.9,42.8,51.0,91.9,
45–54,90.6,97.5,188.1,66.4,80.7,147.5,66.1,75.4,141.6,
55–59,58.3,54.6,112.1,52.3,51.1,102.2,53.6,46.4,100.1,
60–64,61.9,64.9,128.8,63.9,69.1,133.5,54.9,59.4,113.4,
65–69,64.3,69.0,136.3,78.9,66.2,146.9,67.7,71.8,140.2,
70–74,48.5,52.9,101.2,61.8,61.4,124.1,72.4,68.6,139.5,
75–79,54.4,54.6,108.7,49.7,61.4,109.8,59.1,65.1,124.5,
80–84,40.3,56.4,96.4,43.1,51.2,94.1,41.4,54.0,95.4,
85–89,30.0,46.6,76.3,35.9,41.8,77.6,30.2,38.9,69.1,
90 and over,13.1,31.1,43.9,11.8,36.3,48.3,19.1,41.5,60.6,
Total,657.5,691.4,"1,350.5",680.3,693.8,"1,372.4",658.9,688.9,"1,346.2",
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2020,,,,,,,,,,
