            Australian Bureau of Statistics,,,,,,,,,,
"44300DO002_2018 Disability, Ageing and Carers, Australia: Victoria, 2018",,,,,,,,,,
Released at 11.30am (Canberra time) Wed 5 February 2020,,,,,,,,,,
"Table 1.1 Persons with disability, by age and sex–2012, 2015 and 2018, estimate",,,,,,,,,,
,2012,,,2015,,,2018,,,
Age group (years),Males,Females,All persons,Males,Females,All persons,Males,Females,All persons,
ESTIMATE ('000),,,,,,,,,,
0–4,4.2,7.3,11.2,8.5,4.2,10.0,7.9,7.0,16.4,
5–14,38.4,17.3,56.5,36.1,25.6,62.6,46.8,25.2,72.9,
15–24,34.1,33.3,67.5,35.9,32.1,68.0,39.3,42.8,84.0,
25–34,39.8,40.6,79.5,32.2,40.9,72.8,29.7,38.1,66.8,
35–44,46.5,52.9,101.8,48.6,55.7,102.6,40.0,40.8,81.2,
45–54,66.7,76.0,141.9,64.1,68.9,135.7,60.7,59.0,120.9,
55–59,44.9,46.7,90.2,41.2,52.5,93.0,40.6,40.3,81.6,
60–64,49.0,57.6,105.3,52.7,47.5,101.8,43.6,51.9,97.5,
65–69,55.4,57.6,111.5,47.5,53.1,101.2,47.1,54.2,101.0,
70–74,39.9,51.0,90.4,44.6,45.1,90.0,47.0,55.1,101.4,
75–79,36.3,46.8,82.6,43.1,45.0,89.0,45.2,49.6,95.3,
80–84,36.5,47.3,84.1,32.0,47.3,78.6,38.7,45.2,83.6,
85–89,22.5,34.3,56.4,20.8,36.8,57.5,23.4,35.9,59.6,
90 and over,11.1,24.8,36.0,12.1,27.6,39.5,13.8,25.3,39.0,
Total,526.8,589.1,"1,114.3",516.1,581.5,"1,098.8",525.6,572.2,"1,098.2",
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2020,,,,,,,,,,
