            Australian Bureau of Statistics,,,,,,,,,,
"44300DO005_2018 Disability, Ageing and Carers, Australia: Western Australia, 2018",,,,,,,,,,
Released at 11.30am (Canberra time) Wed 5 February 2020,,,,,,,,,,
"Table 1.1 Persons with disability, by age and sex–2012, 2015 and 2018, estimate",,,,,,,,,,
,2012,,,2015,,,2018,,,
Age group (years),Males,Females,All persons,Males,Females,All persons,Males,Females,All persons,
ESTIMATE ('000),,,,,,,,,,
0–4,2.5,3.7,5.6,4.1,0.0,5.1,4.8,1.0,5.2,
5–14,18.1,11.2,28.4,17.0,7.8,23.7,16.0,14.0,30.2,
15–24,11.2,14.1,25.8,13.0,11.7,25.6,12.8,12.0,26.3,
25–34,13.6,13.7,29.5,11.7,11.0,21.3,9.5,16.3,26.3,
35–44,16.1,15.6,32.0,17.1,14.6,30.4,14.3,16.4,30.7,
45–54,23.1,22.0,44.8,18.9,23.9,43.4,20.4,28.4,49.5,
55–59,14.3,14.6,28.1,11.2,14.3,24.6,15.4,17.6,34.1,
60–64,19.1,20.1,38.5,15.8,16.3,31.2,15.9,17.2,32.3,
65–69,19.9,16.2,36.5,19.9,19.4,40.2,16.1,20.4,36.5,
70–74,16.3,16.0,32.4,15.3,15.6,30.8,22.4,21.5,44.8,
75–79,14.4,15.6,30.1,13.4,14.0,28.4,18.5,17.2,35.1,
80–84,11.9,13.4,25.3,10.9,13.4,25.0,12.6,15.9,28.6,
85–89,7.5,11.3,18.6,9.0,9.8,18.7,8.4,12.4,20.7,
90 and over,3.4,10.4,13.6,3.9,9.5,13.2,4.6,8.1,12.7,
Total,193.0,197.3,389.8,180.9,181.3,362.7,193.5,217.7,411.5,
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2020,,,,,,,,,,
